payment_id,order_id,customer_id,order_timestamp,order_amount,payment_method,payment_status,payment_amount,device_id,ip_address,payment_attempts,billing_country,shipping_country
PAY00000050,O0000050,C04853,2025-05-05 00:01:17,96.78,Card,Success,96.78,D005447,IP006744,1,Australia,Australia
PAY00000051,O0000051,C01637,2026-04-10 05:51:01,21.79,Card,Success,21.79,D002705,IP000719,1,UK,UK
PAY00000052,O0000052,C05405,2025-10-07 12:28:43,64.02,Card,Pending,64.02,D007290,IP005119,1,India,India
PAY00000053,O0000053,C01101,2025-08-18 02:52:38,17.04,Card,Success,17.04,D006759,IP003811,1,India,India
PAY00000054,O0000054,C00181,2025-12-22 00:10:45,61.55,Card,Success,61.55,D002161,IP000147,1,India,India
PAY00000055,O0000055,C06929,2026-04-06 11:51:45,523.74,Card,Success,523.74,D002680,IP000666,1,Canada,Canada
PAY00000056,O0000056,C02667,2025-03-31 08:26:47,58.91,Card,Success,58.91,D005700,IP000527,1,India,India
PAY00000057,O0000057,C01267,2025-12-27 18:47:07,495.74,PayPal,Success,495.74,D006352,IP006398,1,UK,UK
PAY00000058,O0000058,C01388,2026-03-13 09:31:41,67.82,Wallet,Success,67.82,D008246,IP005220,1,India,India
PAY00000059,O0000059,C07109,2026-04-30 14:40:35,171.12,Card,Success,171.12,D000770,IP000358,1,France,France
PAY00000060,O0000060,C05268,2025-03-24 04:31:40,53.46,PayPal,Success,53.46,D002077,IP006604,1,UK,UK
PAY00000061,O0000061,C07669,2025-03-24 09:13:16,38.02,Bank Transfer,Success,38.02,D009329,IP002691,1,France,France
PAY00000062,O0000062,C06429,2025-08-11 10:05:07,40.44,Card,Success,40.44,D004882,IP004274,1,India,India
PAY00000063,O0000063,C06166,2025-03-31 04:49:15,84.15,Card,Success,84.15,D002455,IP002808,1,UK,UK
PAY00000064,O0000064,C04034,2026-05-02 07:41:22,142.37,Card,Success,142.37,D002703,IP006284,1,Netherlands,Netherlands
PAY00000065,O0000065,C06580,2025-08-28 05:58:28,74.42,Card,Success,74.42,D001988,IP006745,1,USA,USA
PAY00000066,O0000066,C03300,2025-01-08 17:33:48,14.96,UPI,Success,14.96,D007324,IP003761,1,Germany,Germany
PAY00000067,O0000067,C06635,2026-05-25 21:52:00,20.06,UPI,Success,20.06,D009644,IP001840,1,USA,USA
PAY00000068,O0000068,C06077,2025-03-05 11:38:07,58.78,Wallet,Success,58.78,D009077,IP004802,1,India,India
PAY00000069,O0000069,C05447,2026-01-04 06:30:22,52.4,Card,Success,52.4,D007224,IP003022,1,India,India
PAY00000070,O0000070,C02638,2025-09-07 07:17:23,72.2,Card,Success,72.2,D008721,IP005172,1,Australia,Australia
PAY00000071,O0000071,C05067,2026-06-22 06:08:01,275.52,Card,Success,275.52,D004042,IP000756,1,UK,UK
PAY00000072,O0000072,C04088,2026-06-12 14:01:21,378.56,UPI,Success,378.56,D001452,IP003079,1,USA,USA
PAY00000073,O0000073,C03731,2025-03-01 04:45:12,57.96,Card,Success,57.96,D001165,IP006684,1,India,India
PAY00000074,O0000074,C07921,2026-07-08 01:50:10,1347.53,UPI,Success,1347.53,D004978,IP006709,1,USA,USA
PAY00000075,O0000075,C04069,2026-06-29 09:13:17,352.98,Bank Transfer,Success,352.98,D003072,IP006155,1,Canada,Canada
PAY00000076,O0000076,C00262,2025-11-21 08:24:53,36.02,Card,Success,36.02,D009747,IP004485,1,Netherlands,Netherlands
PAY00000077,O0000077,C05037,2025-03-06 19:06:51,156.15,Card,Success,156.15,D007747,IP002802,1,USA,USA
PAY00000078,O0000078,C05836,2026-04-01 09:39:48,465.59,Card,Success,465.59,D003712,IP006502,1,USA,USA
PAY00000079,O0000079,C07105,2025-10-02 02:48:18,47.32,Card,Success,47.32,D000382,IP005237,1,India,India
PAY00000080,O0000080,C05081,2025-06-03 12:13:16,79.42,Card,Success,79.42,D009265,IP006002,1,India,India
PAY00000081,O0000081,C00155,2026-07-02 15:19:52,99.38,UPI,Success,99.38,D004454,IP006769,1,Netherlands,Netherlands
PAY00000082,O0000082,C00972,2026-05-09 09:43:46,133.06,Wallet,Success,133.06,D009060,IP001029,1,UAE,UAE
PAY00000083,O0000083,C01298,2025-11-04 09:20:45,67.97,Card,Success,67.97,D006950,IP000747,1,India,India
PAY00000084,O0000084,C01687,2025-05-09 21:21:14,12.89,PayPal,Success,12.89,D002374,IP002750,1,UAE,UAE
PAY00000085,O0000085,C06427,2025-04-10 00:13:13,281.23,Card,Success,281.23,D005839,IP002635,1,UAE,UAE
PAY00000086,O0000086,C02485,2026-02-02 05:06:10,30.74,PayPal,Success,30.74,D008736,IP004698,1,UK,UK
PAY00000087,O0000087,C02506,2025-05-30 21:52:54,155.47,Card,Success,155.47,D005709,IP004392,3,India,India
PAY00000088,O0000088,C06060,2025-10-19 01:48:55,132.25,UPI,Success,132.25,D007530,IP004366,1,Germany,Germany
PAY00000089,O0000089,C03297,2025-09-03 15:52:32,429.4,Card,Success,429.4,D005212,IP001211,1,USA,USA
PAY00000090,O0000090,C00528,2025-04-22 11:40:45,12.27,Wallet,Success,12.27,D002427,IP006741,1,India,India
PAY00000091,O0000091,C04713,2026-01-23 05:51:16,5.36,UPI,Failed,5.36,D007125,IP005189,1,India,India
PAY00000092,O0000092,C01053,2025-06-29 19:53:09,376.74,Card,Success,376.74,D000378,IP000328,1,UAE,UAE
PAY00000093,O0000093,C04597,2025-10-25 09:36:53,63.77,UPI,Success,63.77,D003361,IP005864,1,Australia,Australia
PAY00000094,O0000094,C06269,2025-12-18 23:02:50,104.93,UPI,Success,104.93,D004709,IP003688,1,India,India
PAY00000095,O0000095,C07447,2025-12-01 01:23:08,179.72,Card,Success,179.72,D000162,IP004206,1,USA,USA
PAY00000096,O0000096,C00550,2026-04-24 15:15:04,65.08,Bank Transfer,Success,65.08,D006178,IP002184,1,Australia,Australia
PAY00000097,O0000097,C02438,2025-09-27 07:29:36,121.39,Wallet,Success,121.39,D000155,IP004008,1,India,India
PAY00000098,O0000098,C05252,2025-01-14 12:49:50,252.92,Wallet,Success,252.92,D002325,IP001718,2,Singapore,Singapore
PAY00000099,O0000099,C02531,2026-07-13 20:29:54,48.09,Card,Success,48.09,D003047,IP001268,1,Canada,Canada
PAY00000100,O0000100,C03631,2026-08-20 10:12:31,18.96,Card,Success,18.96,D008505,IP004204,1,Australia,Australia
PAY00000101,O0000101,C00158,2025-12-03 00:24:34,163.44,UPI,Success,163.44,D007437,IP005433,1,Australia,Australia
PAY00000102,O0000102,C05567,2026-03-27 11:40:46,252.59,UPI,Success,252.59,D009549,IP003651,1,Canada,Canada
PAY00000103,O0000103,C07088,2025-10-03 03:06:12,126.78,UPI,Success,126.78,D002962,IP003813,1,USA,USA
PAY00000104,O0000104,C07824,2025-01-30 13:33:04,71.06,Wallet,Success,71.06,D006295,IP004988,1,Australia,Australia
PAY00000105,O0000105,C06659,2026-07-20 18:21:28,123.84,Card,Success,123.84,D002123,IP002377,1,India,India
PAY00000106,O0000106,C00261,2025-06-11 15:50:56,3127.1,PayPal,Failed,3127.1,FRAUDDEV006,FRAUDIP006,3,USA,India
PAY00000107,O0000107,C05246,2025-05-04 22:52:45,32.36,Card,Success,32.36,D009105,IP000885,1,USA,USA
PAY00000108,O0000108,C04005,2025-04-06 21:14:25,337.17,Bank Transfer,Success,337.17,D000300,IP006067,1,India,India
PAY00000109,O0000109,C07523,2025-07-20 11:52:42,400.11,UPI,Success,400.11,D009109,IP001685,1,USA,USA
PAY00000110,O0000110,C07243,2026-05-05 20:21:17,35.24,UPI,Success,35.24,D009957,IP006617,1,India,India
PAY00000111,O0000111,C07907,2025-12-19 08:23:24,265.73,Card,Success,265.73,D002784,IP003881,1,India,India
PAY00000112,O0000112,C06917,2025-04-29 11:22:57,21.49,PayPal,Success,21.49,D005011,IP006983,1,UK,UK
PAY00000113,O0000113,C04409,2026-08-31 18:57:14,90.28,Card,Success,90.28,D000984,IP006928,1,UK,UK
PAY00000114,O0000114,C05734,2025-02-25 20:49:32,57.18,UPI,Success,57.18,D002446,IP000054,1,USA,USA
PAY00000115,O0000115,C07739,2026-04-30 03:41:18,14.25,Card,Success,14.25,D005075,IP004521,1,Canada,Canada
PAY00000116,O0000116,C04654,2026-05-21 15:10:15,127.95,UPI,Success,127.95,D004090,IP006156,2,Germany,Germany
PAY00000117,O0000117,C06742,2026-05-27 05:01:06,99.35,PayPal,Success,99.35,D009915,IP004714,1,India,India
PAY00000118,O0000118,C07556,2025-12-10 15:30:24,44.43,UPI,Success,44.43,D009131,IP001288,1,UK,UK
PAY00000119,O0000119,C04590,2026-03-25 06:26:19,122.78,Card,Success,122.78,D004614,IP000100,1,Australia,Australia
PAY00000120,O0000120,C01282,2025-03-22 09:05:35,157.87,Wallet,Success,157.87,D005092,IP006914,1,Canada,Canada
PAY00000121,O0000121,C01254,2026-01-01 13:27:03,104.62,Wallet,Success,104.62,D005466,IP003315,1,India,India
PAY00000122,O0000122,C00932,2025-07-27 00:41:24,26.28,Card,Success,26.28,D002038,IP004765,2,Germany,Germany
PAY00000123,O0000123,C03849,2025-09-29 11:42:22,40.67,Card,Success,40.67,D001550,IP004387,1,Canada,Canada
PAY00000124,O0000124,C03879,2025-02-17 22:45:58,122.43,Card,Success,122.43,D000984,IP003905,1,USA,USA
PAY00000125,O0000125,C04966,2025-05-13 16:45:53,574.64,Card,Success,574.64,D001419,IP004196,1,India,India
PAY00000126,O0000126,C03905,2026-03-06 14:59:36,83.25,Card,Success,83.25,D002357,IP002867,1,Germany,Germany
PAY00000127,O0000127,C07799,2026-04-17 04:30:59,227.69,UPI,Success,227.69,D007736,IP000066,2,India,India
PAY00000128,O0000128,C02341,2025-10-22 04:45:24,456.82,Card,Success,456.82,D005505,IP004847,1,Australia,Australia
PAY00000129,O0000129,C07012,2025-10-25 18:32:20,9.74,Card,Success,9.74,D007029,IP006898,1,Germany,Germany
PAY00000130,O0000130,C00811,2025-12-04 00:11:38,5.07,Card,Success,5.07,D004792,IP004044,1,Netherlands,Netherlands
PAY00000131,O0000131,C04845,2025-03-10 11:05:10,24.72,PayPal,Success,24.72,D006579,IP001087,1,India,India
PAY00000132,O0000132,C05213,2025-10-18 02:00:33,194.62,Card,Success,194.62,D001800,IP004260,3,India,India
PAY00000133,O0000133,C06207,2026-03-29 20:57:56,109.21,UPI,Success,109.21,D009272,IP005549,1,India,India
PAY00000134,O0000134,C04056,2025-04-20 13:45:21,91.03,Card,Success,91.03,D004391,IP003211,1,India,India
PAY00000135,O0000135,C01579,2026-08-03 11:05:04,342.13,UPI,Success,342.13,D005476,IP004315,2,USA,USA
PAY00000136,O0000136,C02957,2026-05-18 02:05:03,219.23,Card,Success,219.23,D002736,IP000482,1,Australia,Australia
PAY00000137,O0000137,C02184,2025-12-19 05:30:55,84.68,Wallet,Success,84.68,D005445,IP005126,1,India,India
PAY00000138,O0000138,C03356,2025-06-22 21:53:59,780.5,Card,Success,780.5,D006213,IP005123,2,India,India
PAY00000139,O0000139,C04272,2025-08-14 20:15:39,82.66,UPI,Success,82.66,D000982,IP004493,1,Singapore,Singapore
PAY00000140,O0000140,C05025,2025-03-14 02:28:12,33.9,Card,Success,33.9,D001186,IP006683,1,UAE,UAE
PAY00000141,O0000141,C06786,2025-07-26 00:02:14,73.04,PayPal,Success,73.04,D002665,IP006401,1,France,France
PAY00000142,O0000142,C07301,2025-11-01 05:21:28,85.23,Wallet,Pending,85.23,D008965,IP001705,1,India,India
PAY00000143,O0000143,C03740,2025-06-27 02:06:53,215.06,Card,Success,215.06,D008957,IP003288,1,USA,USA
PAY00000144,O0000144,C00716,2025-07-05 19:11:46,119.46,Card,Success,119.46,D000450,IP004381,1,UAE,UAE
PAY00000145,O0000145,C06402,2026-05-28 18:34:16,17.2,Card,Success,17.2,D008916,IP002634,1,France,France
PAY00000146,O0000146,C03857,2026-04-03 22:49:29,49.09,Card,Failed,49.09,D007868,IP004358,1,UK,UK
PAY00000147,O0000147,C04407,2025-11-21 17:48:03,60.35,PayPal,Pending,60.35,D001309,IP000424,1,UAE,UAE
PAY00000148,O0000148,C04803,2026-07-25 15:00:35,573.65,Card,Success,573.65,D001886,IP000876,1,UAE,UAE
PAY00000149,O0000149,C05377,2025-06-19 12:09:52,60.21,PayPal,Success,60.21,D008954,IP004324,1,USA,USA
PAY00000150,O0000150,C07147,2025-07-28 03:49:25,63.14,Wallet,Success,63.14,D000125,IP003708,1,Australia,Australia
PAY00000151,O0000151,C07639,2025-05-21 18:25:51,125.65,Wallet,Success,125.65,D008025,IP005051,1,India,India
PAY00000152,O0000152,C07536,2026-01-07 21:43:35,851.71,Card,Success,851.71,D008613,IP003118,1,Canada,Canada
PAY00000153,O0000153,C06492,2025-03-20 13:13:31,243.57,Card,Success,243.57,D004316,IP004438,1,India,India
PAY00000154,O0000154,C07139,2025-02-19 05:39:14,29.4,PayPal,Success,29.4,D001682,IP006707,1,Canada,Canada
PAY00000155,O0000155,C00411,2025-01-23 00:24:26,80.46,PayPal,Success,80.46,D006845,IP001618,1,India,India
PAY00000156,O0000156,C06816,2025-12-17 03:01:37,122.07,Card,Success,122.07,D007396,IP004046,1,India,India
PAY00000157,O0000157,C00591,2025-03-20 19:35:03,264.96,Bank Transfer,Success,264.96,D003142,IP000633,2,India,India
PAY00000158,O0000158,C05985,2025-05-23 23:58:59,23.97,Bank Transfer,Success,23.97,D001580,IP006130,1,India,India
PAY00000159,O0000159,C01359,2025-01-28 20:48:10,77.4,Bank Transfer,Success,77.4,D001117,IP003306,1,India,India
PAY00000160,O0000160,C02883,2025-12-28 01:13:02,150.64,Card,Failed,150.64,D006320,IP004703,1,India,India
PAY00000161,O0000161,C01484,2025-09-25 04:46:11,70.96,Bank Transfer,Success,70.96,D005079,IP004001,1,India,India
PAY00000162,O0000162,C03568,2025-05-06 08:13:44,319.2,Card,Failed,319.2,D000270,IP001377,1,Canada,Canada
PAY00000163,O0000163,C03291,2025-10-15 14:26:01,42.47,Card,Success,42.47,D004462,IP004326,1,India,India
PAY00000164,O0000164,C00396,2025-12-23 04:43:00,146.38,Card,Failed,146.38,D001633,IP006425,2,UAE,UAE
PAY00000165,O0000165,C06659,2026-07-23 09:16:34,29.37,Card,Success,29.37,D002123,IP002377,1,India,India
PAY00000166,O0000166,C06853,2025-10-14 04:41:28,77.74,Card,Success,77.74,D004094,IP000660,1,UAE,UAE
PAY00000167,O0000167,C06332,2025-10-23 15:42:45,87.36,UPI,Success,87.36,D007167,IP002704,2,Canada,Canada
PAY00000168,O0000168,C06804,2025-11-05 09:09:00,8.1,Card,Success,8.1,D003018,IP004758,1,UK,UK
PAY00000169,O0000169,C06027,2026-07-02 17:57:04,315.93,UPI,Success,315.93,D002991,IP005435,3,France,France
PAY00000170,O0000170,C07519,2025-11-29 00:48:31,20.15,Card,Pending,20.15,D006581,IP002062,1,Germany,Germany
PAY00000171,O0000171,C04639,2025-04-25 19:36:14,120.0,Card,Success,120.0,D004866,IP005587,1,Australia,Australia
PAY00000172,O0000172,C04688,2026-01-13 05:15:01,29.06,Card,Success,29.06,D002018,IP001588,1,India,India
PAY00000173,O0000173,C06898,2026-02-24 04:43:19,65.8,UPI,Success,65.8,D005846,IP002736,1,India,India
PAY00000174,O0000174,C02800,2025-04-28 23:48:11,193.14,Bank Transfer,Success,193.14,D004880,IP000961,1,India,India
PAY00000175,O0000175,C00414,2026-04-12 13:08:11,23.01,Card,Success,23.01,D000321,IP004797,1,USA,USA
PAY00000176,O0000176,C06017,2026-07-17 10:41:43,10.45,UPI,Success,10.45,D000509,IP002868,1,India,India
PAY00000177,O0000177,C02038,2026-04-10 19:22:51,185.17,UPI,Success,185.17,D002641,IP001292,2,India,India
PAY00000178,O0000178,C03831,2026-07-07 01:50:18,49.28,UPI,Success,49.28,D004762,IP004823,2,UK,UK
PAY00000179,O0000179,C01919,2025-11-05 17:22:41,50.19,UPI,Success,50.19,D009324,IP001796,1,UK,UK
PAY00000180,O0000180,C06635,2025-08-28 18:38:13,119.2,Wallet,Success,119.2,D009644,IP001840,1,USA,USA
PAY00000181,O0000181,C07687,2025-11-11 05:56:53,669.82,PayPal,Success,669.82,D006789,IP003437,1,Australia,Australia
PAY00000182,O0000182,C00455,2025-12-28 05:43:32,60.68,Card,Success,60.68,D007891,IP004306,1,India,India
PAY00000183,O0000183,C01868,2025-03-19 13:19:27,215.32,Card,Success,215.32,D000020,IP004715,1,India,India
PAY00000184,O0000184,C01528,2026-08-14 23:38:02,149.6,Card,Success,149.6,D005047,IP001191,1,India,India
PAY00000185,O0000185,C05410,2026-03-09 04:42:44,19.49,Wallet,Success,19.49,D004226,IP002452,1,USA,USA
PAY00000186,O0000186,C03434,2025-07-07 15:52:05,231.89,Card,Success,231.89,D005941,IP002771,1,UK,UK
PAY00000187,O0000187,C03680,2025-01-03 00:04:54,113.55,Card,Success,113.55,D004998,IP006063,1,UK,UK
PAY00000188,O0000188,C01269,2025-10-22 20:43:06,12.53,Wallet,Failed,12.53,D005126,IP003810,1,USA,USA
PAY00000189,O0000189,C03319,2026-02-26 07:10:34,225.48,Card,Success,225.48,D003720,IP005367,1,Germany,Germany
PAY00000190,O0000190,C02431,2025-06-17 07:02:23,354.83,PayPal,Success,354.83,D001193,IP000474,1,USA,USA
PAY00000191,O0000191,C04909,2025-01-24 09:15:05,296.72,Card,Success,296.72,D008127,IP006648,1,Australia,Australia
PAY00000192,O0000192,C01735,2025-11-16 22:39:00,94.9,Card,Success,94.9,D005477,IP002370,1,India,India
PAY00000193,O0000193,C04942,2025-01-28 05:48:40,72.67,UPI,Success,72.67,D008485,IP002571,1,UK,UK
PAY00000194,O0000194,C03025,2026-08-22 11:00:41,14.75,Wallet,Success,14.75,D006333,IP002014,1,India,India
PAY00000195,O0000195,C02772,2026-01-27 06:21:12,213.94,Card,Pending,213.94,D004838,IP003758,1,India,India
PAY00000196,O0000196,C02452,2026-08-08 14:16:30,187.63,UPI,Success,187.63,D007592,IP000858,1,Singapore,Singapore
PAY00000197,O0000197,C05416,2026-06-08 13:37:31,6.99,Card,Success,6.99,D002437,IP004712,1,UK,UK
PAY00000198,O0000198,C04523,2026-04-12 14:10:33,335.4,Card,Success,335.4,D008683,IP006906,1,France,France
PAY00000199,O0000199,C06834,2026-04-29 15:51:25,52.88,Card,Failed,52.88,D003166,IP006870,1,UAE,UAE
PAY00000200,O0000200,C01926,2026-08-23 01:25:53,145.36,PayPal,Success,145.36,D000527,IP002969,1,India,India
PAY00000201,O0000201,C00326,2026-08-21 05:21:29,958.66,PayPal,Success,958.66,D004774,IP004346,1,Australia,Australia
PAY00000202,O0000202,C01469,2025-10-11 03:11:13,138.68,UPI,Success,138.68,D007670,IP004312,1,France,France
PAY00000203,O0000203,C02751,2025-08-20 15:17:47,61.53,Wallet,Success,61.53,D001362,IP001184,2,UK,UK
PAY00000204,O0000204,C01448,2025-08-08 12:04:48,32.44,Card,Success,32.44,D005000,IP006729,2,Germany,Germany
PAY00000205,O0000205,C00679,2026-02-08 05:34:22,60.23,Bank Transfer,Success,60.23,D007039,IP000145,1,Singapore,Singapore
PAY00000206,O0000206,C03584,2026-02-11 23:49:34,41.93,Card,Success,41.93,D002513,IP005230,1,France,France
PAY00000207,O0000207,C05437,2025-01-27 21:44:30,48.7,Wallet,Success,48.7,D007800,IP006410,1,India,India
PAY00000208,O0000208,C06030,2026-07-28 00:11:27,307.86,UPI,Success,307.86,D002209,IP002006,1,India,India
PAY00000209,O0000209,C03198,2026-04-30 11:45:24,83.36,Card,Success,83.36,D001129,IP002947,1,France,France
PAY00000210,O0000210,C03866,2025-08-15 17:57:22,79.3,Card,Failed,79.3,D000909,IP000314,1,UK,UK
PAY00000211,O0000211,C06059,2025-06-23 06:05:26,82.43,UPI,Pending,82.43,D004468,IP001318,1,Germany,Germany
PAY00000212,O0000212,C02826,2025-10-02 16:53:13,461.9,Card,Success,461.9,D004488,IP000646,1,Germany,Germany
PAY00000213,O0000213,C06310,2025-03-30 13:11:36,428.43,PayPal,Success,428.43,D006317,IP000862,1,Germany,Germany
PAY00000214,O0000214,C07754,2025-05-08 13:24:41,18.41,Card,Success,18.41,D001964,IP001647,1,UK,UK
PAY00000215,O0000215,C07064,2026-08-17 06:43:03,59.16,Card,Success,59.16,D001348,IP002691,1,Australia,Australia
PAY00000216,O0000216,C03654,2026-05-23 05:13:51,123.4,PayPal,Success,123.4,D005165,IP003791,1,India,India
PAY00000217,O0000217,C04665,2025-06-14 07:01:18,15.19,Card,Success,15.19,D005627,IP005078,1,Germany,Germany
PAY00000218,O0000218,C05749,2025-07-27 14:39:24,29.23,PayPal,Success,29.23,D007595,IP005256,1,Netherlands,Netherlands
PAY00000219,O0000219,C02800,2026-08-17 17:30:40,109.71,UPI,Success,109.71,D004880,IP000961,1,India,India
PAY00000220,O0000220,C06421,2026-07-11 01:25:18,264.25,Wallet,Failed,264.25,D001182,IP003011,2,Netherlands,Netherlands
PAY00000221,O0000221,C03509,2025-09-08 04:51:54,16.75,Card,Success,16.75,D002344,IP000668,1,Germany,Germany
PAY00000222,O0000222,C06798,2025-10-05 11:03:53,74.18,Card,Success,74.18,D009008,IP006666,1,India,India
PAY00000223,O0000223,C02040,2025-03-18 06:52:14,73.87,UPI,Success,73.87,D004879,IP006625,1,India,India
PAY00000224,O0000224,C00094,2026-07-09 14:38:57,137.25,Card,Pending,137.25,D001470,IP006842,1,USA,USA
PAY00000225,O0000225,C05081,2026-07-21 14:44:40,425.81,Card,Success,425.81,D009265,IP006002,1,India,India
PAY00000226,O0000226,C03640,2025-07-17 20:21:45,164.57,Bank Transfer,Success,164.57,D004617,IP005696,1,India,India
