activity_id,customer_id,activity_timestamp,activity_type,device_id,ip_address
A00000129,C00729,2026-01-14 21:49:43,Login,D002017,IP005691
A00000130,C01120,2025-01-12 20:08:46,Login,D000879,IP003191
A00000131,C01157,2025-04-18 06:38:55,Search,D004706,IP002183
A00000132,C01598,2025-09-02 02:54:21,Login,D003808,IP003649
A00000133,C03462,2025-10-22 14:02:17,Login,D002659,IP003737
A00000134,C02413,2025-05-31 21:04:07,Login,D002177,IP003491
A00000135,C07589,2025-08-04 18:40:23,Add to Cart,D000013,IP002506
A00000136,C06473,2026-08-06 06:58:03,Add to Cart,D001619,IP001320
A00000137,C06503,2026-05-30 01:57:07,Login,D002118,IP005971
A00000138,C04054,2025-06-05 06:28:54,Search,D007042,IP006493
A00000139,C04551,2026-02-13 03:02:10,Login,D009890,IP006331
A00000140,C07365,2026-01-15 00:30:27,Search,D004751,IP001975
A00000141,C06375,2025-01-27 11:08:42,Add to Cart,D002181,IP003673
A00000142,C04530,2026-05-11 23:19:49,Wishlist,D007777,IP001340
A00000143,C03617,2026-08-15 06:39:03,Product View,D008616,IP006924
A00000144,C02271,2025-10-30 05:45:55,Product View,D004350,IP005977
A00000145,C01811,2025-02-09 19:28:19,Wishlist,D006745,IP000931
A00000146,C01167,2026-05-20 05:35:06,Product View,D006215,IP003709
A00000147,C06498,2025-04-27 00:01:44,Login,D006813,IP006638
A00000148,C02394,2025-04-22 23:49:16,Product View,D006062,IP004255
A00000149,C07602,2025-04-13 03:16:00,Add to Cart,D006707,IP001340
A00000150,C06547,2025-09-19 20:08:31,Login,D008276,IP005575
A00000151,C05929,2025-08-03 22:51:36,Login,D001950,IP005229
A00000152,C06610,2025-05-14 21:23:26,Login,D005028,IP001952
A00000153,C01778,2025-11-06 09:31:41,Product View,D000703,IP003357
A00000154,C06365,2026-07-30 16:23:24,Checkout,D001964,IP003547
A00000155,C05332,2026-02-08 02:03:31,Add to Cart,D000251,IP002228
A00000156,C03104,2025-12-27 08:33:54,Login,D008035,IP003190
A00000157,C05401,2025-11-13 10:02:00,Login,D001723,IP006007
A00000158,C03525,2026-03-30 06:49:33,Wishlist,D008633,IP003213
A00000159,C05008,2026-05-14 04:39:14,Checkout,D003673,IP003930
A00000160,C02828,2025-03-12 00:34:19,Login,D006873,IP006023
A00000161,C07661,2025-03-01 02:42:05,Wishlist,D006091,IP001674
A00000162,C02210,2025-06-07 15:01:45,Product View,D006202,IP003688
A00000163,C02748,2025-03-11 17:29:53,Login,D009371,IP002099
A00000164,C03351,2025-11-12 03:20:29,Checkout,D005779,IP004400
A00000165,C02663,2025-04-25 11:15:15,Search,D003296,IP004444
A00000166,C02066,2025-06-02 19:58:43,Product View,D005423,IP005723
A00000167,C07177,2026-02-21 03:36:50,Search,D000433,IP000515
A00000168,C01352,2025-12-01 06:04:39,Wishlist,D006024,IP003419
A00000169,C07829,2025-10-30 10:32:00,Product View,D005428,IP003109
A00000170,C02483,2025-07-26 02:51:12,Login,D002193,IP001987
A00000171,C02791,2025-08-21 07:59:02,Product View,D006462,IP002834
A00000172,C05404,2026-04-21 21:46:36,Product View,D008715,IP000738
A00000173,C07399,2025-11-25 05:37:02,Login,D008330,IP002888
A00000174,C05875,2026-07-23 03:28:02,Product View,D001288,IP002494
A00000175,C03965,2025-12-11 03:52:06,Search,D000502,IP005444
A00000176,C06964,2025-04-05 05:56:25,Search,D001126,IP002359
A00000177,C06840,2025-11-25 07:44:31,Checkout,D007814,IP001013
A00000178,C07950,2025-05-12 18:11:54,Add to Cart,D001763,IP002293
A00000179,C01136,2025-05-23 00:11:10,Login,D004787,IP004613
A00000180,C07128,2025-03-10 10:35:23,Product View,D002727,IP006913
A00000181,C06738,2025-09-19 22:32:34,Product View,D004555,IP002988
A00000182,C05269,2025-11-16 01:07:12,Product View,D008878,IP005653
A00000183,C00701,2026-08-01 09:17:00,Product View,D004954,IP005049
A00000184,C00447,2025-05-17 19:33:38,Product View,D000564,IP001552
A00000185,C01163,2026-08-12 18:57:41,Login,D006224,IP006825
A00000186,C00036,2025-10-10 05:20:39,Login,D007484,IP001732
A00000187,C02909,2026-07-02 04:01:30,Add to Cart,D008748,IP005199
A00000188,C06281,2026-07-13 16:32:22,Add to Cart,D007888,IP005457
A00000189,C07258,2026-02-16 14:53:38,Product View,D006882,IP000819
A00000190,C02583,2026-05-11 14:29:49,Product View,D004838,IP005856
A00000191,C06474,2026-07-20 00:19:01,Wishlist,D003347,IP005812
A00000192,C00444,2025-12-28 04:51:00,Search,D005319,IP004387
A00000193,C03511,2026-08-03 08:43:36,Product View,D004015,IP005048
A00000194,C07742,2025-10-17 22:32:06,Add to Cart,D006402,IP000663
A00000195,C04188,2025-01-20 13:26:59,Checkout,D006133,IP002830
A00000196,C02872,2025-01-25 10:45:46,Login,D006026,IP003786
A00000197,C07685,2025-11-20 00:13:15,Product View,D008668,IP000963
A00000198,C00150,2025-12-28 12:14:32,Login,D001015,IP003629
A00000199,C02232,2025-09-05 11:51:04,Product View,D001894,IP002241
A00000200,C04129,2025-02-04 18:01:42,Add to Cart,D009522,IP001453
A00000201,C07820,2025-01-18 22:23:20,Product View,D005196,IP000238
A00000202,C04227,2026-08-30 04:04:52,Login,D006917,IP000954
A00000203,C07660,2025-04-23 14:23:59,Product View,D006794,IP005531
A00000204,C07747,2026-06-22 07:13:08,Product View,D004249,IP004392
A00000205,C01950,2026-07-20 06:13:38,Search,D002016,IP001299
A00000206,C07810,2026-02-17 05:14:24,Login,D001225,IP005092
A00000207,C00239,2025-06-17 15:03:06,Checkout,D001673,IP003729
A00000208,C06723,2025-07-31 17:27:42,Search,D008466,IP005713
A00000209,C07828,2025-05-13 08:34:16,Product View,D006216,IP001040
A00000210,C03406,2025-07-05 01:01:20,Add to Cart,D005975,IP000639
A00000211,C05411,2025-02-27 20:00:37,Search,D003520,IP006132
A00000212,C01440,2025-01-07 20:34:57,Search,D004400,IP006514
A00000213,C07925,2025-02-01 21:38:09,Product View,D002221,IP006906
A00000214,C03837,2026-02-28 07:39:20,Product View,D007438,IP002618
A00000215,C02909,2025-11-11 17:17:16,Add to Cart,D008748,IP005199
A00000216,C00465,2026-04-25 02:10:57,Product View,D004039,IP003331
A00000217,C07278,2025-11-21 17:39:52,Search,D004398,IP004939
A00000218,C00893,2025-04-14 06:37:07,Search,D001202,IP001698
A00000219,C07520,2026-05-29 23:24:20,Checkout,D002205,IP002841
A00000220,C02540,2026-01-23 03:38:57,Product View,D005744,IP002251
A00000221,C04241,2025-05-17 13:41:54,Product View,D000362,IP001543
A00000222,C04239,2025-12-30 22:48:01,Add to Cart,D003181,IP006792
A00000223,C04966,2026-06-25 00:13:26,Checkout,D001419,IP004196
A00000224,C03228,2025-07-24 19:07:26,Search,D009336,IP003375
A00000225,C00730,2025-03-31 03:21:15,Login,D005007,IP000389
A00000226,C00324,2026-02-03 13:43:54,Login,D001835,IP005265
A00000227,C04415,2025-07-23 14:04:22,Login,D008452,IP005911
A00000228,C03617,2026-08-07 07:03:33,Login,D008616,IP006924
A00000229,C01179,2025-10-16 09:08:28,Checkout,D002586,IP001403
A00000230,C07929,2025-09-03 10:13:01,Wishlist,D004714,IP000252
A00000231,C01868,2025-08-01 00:17:24,Login,D000020,IP004715
A00000232,C05668,2025-05-26 11:59:41,Login,D004618,IP004666
A00000233,C07026,2026-03-04 02:01:52,Login,D003246,IP006714
A00000234,C01402,2025-09-25 16:39:01,Wishlist,D000649,IP005806
A00000235,C04608,2026-07-25 13:20:36,Checkout,D004233,IP006673
A00000236,C06008,2026-02-11 21:11:12,Login,D004100,IP004697
A00000237,C01974,2026-03-03 10:49:31,Login,D005326,IP003561
A00000238,C00783,2025-05-14 01:48:20,Product View,D004854,IP003579
A00000239,C03786,2026-05-29 23:32:11,Wishlist,D000824,IP001777
A00000240,C07919,2025-04-06 23:32:48,Checkout,D006729,IP001748
A00000241,C06727,2025-02-04 19:40:27,Product View,D003834,IP003928
A00000242,C05273,2025-12-07 17:43:17,Product View,D002272,IP004652
A00000243,C04124,2025-10-31 16:32:32,Product View,D008073,IP005405
A00000244,C02336,2026-04-26 19:21:02,Login,D005846,IP000083
A00000245,C03390,2026-05-12 09:20:01,Search,D001871,IP002487
A00000246,C05019,2025-02-15 01:02:22,Login,D004889,IP005273
A00000247,C02165,2025-09-26 09:24:07,Checkout,D006382,IP001475
A00000248,C03303,2026-03-27 07:28:25,Checkout,D008468,IP004935
A00000249,C07441,2025-12-16 13:24:47,Login,D009855,IP003685
A00000250,C02835,2026-03-03 14:23:47,Product View,D006263,IP003642
A00000251,C05729,2026-08-14 11:12:57,Product View,D005108,IP001499
A00000252,C02757,2025-12-04 04:44:03,Product View,D008611,IP003908
A00000253,C01221,2025-09-07 06:17:56,Product View,D005291,IP001957
A00000254,C06067,2025-01-30 14:52:33,Add to Cart,D009738,IP006367
A00000255,C03716,2025-10-26 17:07:48,Checkout,D007891,IP000218
A00000256,C01167,2025-11-18 10:11:52,Wishlist,D006215,IP003709
A00000257,C03917,2026-02-12 03:38:05,Login,D000729,IP002567
A00000258,C01303,2025-12-28 03:57:34,Product View,D003201,IP003850
A00000259,C01796,2025-10-17 12:12:48,Product View,D009137,IP006611
A00000260,C04169,2025-05-03 22:52:17,Product View,D001757,IP005608
A00000261,C06315,2025-09-03 14:44:03,Product View,D005164,IP005491
A00000262,C07434,2026-03-24 23:21:42,Wishlist,D005546,IP006921
A00000263,C04376,2025-02-22 16:52:41,Checkout,D001578,IP005966
A00000264,C04382,2026-02-03 05:39:33,Add to Cart,D005828,IP003925
A00000265,C02220,2025-09-15 09:43:02,Add to Cart,D005541,IP005066
A00000266,C01925,2026-06-10 19:40:19,Login,D001227,IP005213
A00000267,C06250,2026-04-22 22:36:14,Product View,D006290,IP002524
A00000268,C01523,2026-07-09 07:50:03,Checkout,D007214,IP004773
A00000269,C05567,2025-09-09 06:20:24,Product View,D009549,IP003651
A00000270,C06132,2026-04-14 03:39:49,Login,D001001,IP003318
A00000271,C06244,2025-05-26 02:50:18,Login,D002644,IP004867
A00000272,C06298,2026-03-19 18:27:41,Product View,D007376,IP005286
A00000273,C04446,2025-07-26 07:36:08,Login,D008422,IP006317
A00000274,C05147,2026-08-17 11:43:47,Login,D008443,IP006188
A00000275,C05221,2025-07-26 22:36:44,Login,D004730,IP002304
A00000276,C05741,2025-12-19 09:39:20,Checkout,D003464,IP003736
A00000277,C02334,2025-04-19 18:03:00,Search,D009800,IP000444
A00000278,C04496,2026-01-28 05:06:09,Product View,D005090,IP003127
A00000279,C00837,2025-06-27 05:51:11,Login,D005230,IP003023
A00000280,C05776,2026-01-09 10:44:16,Wishlist,D003599,IP001981
A00000281,C01344,2025-03-09 12:40:34,Product View,D004795,IP003725
A00000282,C05938,2025-02-24 07:39:03,Wishlist,D006059,IP003574
A00000283,C04295,2025-09-16 06:19:31,Product View,D004145,IP002874
A00000284,C03571,2026-08-05 02:45:47,Search,D008921,IP002955
A00000285,C04886,2026-02-12 04:55:34,Add to Cart,D006578,IP002857
A00000286,C01806,2025-02-19 18:54:42,Product View,D002663,IP006818
A00000287,C02846,2026-03-21 05:43:15,Product View,D002576,IP000260
A00000288,C04516,2026-04-26 08:20:57,Add to Cart,D006533,IP003846
A00000289,C06162,2026-06-01 06:12:46,Checkout,D006124,IP000901
A00000290,C01747,2025-02-23 04:22:05,Checkout,D006920,IP002869
A00000291,C03533,2025-08-13 22:36:40,Login,D008111,IP003958
A00000292,C06853,2025-12-10 23:57:46,Login,D004094,IP000660
A00000293,C04619,2026-04-03 19:18:45,Checkout,D002498,IP004681
A00000294,C02329,2025-07-03 15:49:27,Checkout,D004982,IP004547
A00000295,C03109,2026-03-03 16:22:38,Product View,D007043,IP000219
A00000296,C07750,2026-01-21 05:39:45,Add to Cart,D009285,IP001523
A00000297,C03246,2026-08-05 07:09:37,Product View,D001547,IP004555
A00000298,C00694,2026-03-25 12:39:48,Add to Cart,D004764,IP006832
A00000299,C01679,2026-02-16 18:14:41,Product View,D005173,IP004002
A00000300,C07841,2026-07-12 19:07:16,Product View,D003310,IP005822
A00000301,C02077,2025-01-02 23:01:59,Login,D004705,IP003975
A00000302,C05634,2025-01-14 01:32:14,Product View,D007853,IP003271
A00000303,C03921,2025-11-09 08:49:20,Product View,D006654,IP005475
A00000304,C01531,2025-12-02 21:24:09,Product View,D007977,IP002523
A00000305,C02496,2026-03-17 12:03:15,Login,D006889,IP003637
A00000306,C02570,2025-12-01 19:51:43,Search,D007109,IP005320
A00000307,C06339,2026-03-07 01:17:44,Search,D005394,IP002679
A00000308,C04356,2026-02-21 11:03:39,Wishlist,D006790,IP003430
A00000309,C06659,2025-12-06 14:47:55,Product View,D002123,IP002377
A00000310,C05656,2025-05-26 02:40:11,Product View,D005987,IP000970
A00000311,C06973,2025-04-20 22:56:35,Checkout,D007040,IP005801
A00000312,C03867,2026-05-29 09:43:46,Search,D002808,IP006957
A00000313,C07198,2026-03-24 03:34:35,Checkout,D004714,IP000680
A00000314,C01805,2025-12-21 03:17:04,Search,D007957,IP005622
A00000315,C01328,2025-01-23 01:00:57,Login,D009506,IP000739
A00000316,C05025,2025-02-20 15:48:32,Wishlist,D001186,IP006683
A00000317,C04415,2025-06-30 03:11:21,Wishlist,D008452,IP005911
A00000318,C07603,2026-03-09 18:12:34,Search,D008500,IP000026
A00000319,C01436,2025-09-08 15:07:01,Product View,D003652,IP000604
A00000320,C02663,2026-03-19 07:09:02,Product View,D003296,IP004444
A00000321,C07753,2026-08-01 16:48:01,Product View,D007663,IP005597
A00000322,C04893,2026-02-02 08:39:42,Add to Cart,D003569,IP004211
A00000323,C07701,2025-09-03 01:44:19,Add to Cart,D003717,IP002432
A00000324,C04478,2025-05-06 06:46:35,Checkout,D002421,IP001608
A00000325,C02893,2026-05-27 13:23:49,Checkout,D008016,IP002650
A00000326,C03276,2026-07-03 09:12:00,Add to Cart,D001490,IP001083
A00000327,C03418,2025-03-15 23:29:41,Add to Cart,D008705,IP006431
A00000328,C05262,2026-04-15 20:34:38,Login,D001892,IP000842
A00000329,C02693,2026-02-05 11:03:10,Product View,D009667,IP001351
A00000330,C03397,2025-08-10 04:58:13,Login,D009659,IP000501
A00000331,C01746,2026-04-12 16:46:11,Login,D004321,IP002400
A00000332,C02470,2025-05-14 12:58:44,Product View,D003970,IP002968
A00000333,C06917,2025-08-27 07:15:00,Search,D005011,IP006983
A00000334,C00788,2025-07-18 13:44:27,Add to Cart,D007370,IP000236
A00000335,C05667,2026-01-03 13:57:43,Product View,D003622,IP005221
A00000336,C05833,2026-06-15 07:13:17,Wishlist,D003455,IP000393
A00000337,C06291,2025-08-26 13:28:47,Wishlist,D004532,IP005891
A00000338,C04409,2025-10-30 05:04:04,Login,D000984,IP006928
A00000339,C03219,2026-07-31 10:26:24,Login,D006210,IP004973
A00000340,C03829,2026-01-28 19:40:23,Login,D006067,IP006133
A00000341,C01071,2026-04-28 00:22:03,Add to Cart,D009436,IP001744
A00000342,C05919,2025-08-28 21:40:22,Checkout,D006752,IP002384
A00000343,C06189,2025-08-08 11:52:42,Search,D000044,IP002545
A00000344,C07042,2026-03-31 16:47:25,Search,D001001,IP000850
A00000345,C04341,2025-05-30 18:55:14,Search,D005339,IP000286
A00000346,C06565,2026-06-15 10:13:57,Search,D003711,IP000298
A00000347,C00058,2026-05-12 12:53:22,Product View,D001230,IP006813
A00000348,C07956,2025-08-24 09:24:01,Search,D000283,IP002277
A00000349,C05076,2026-01-16 12:00:33,Search,D005302,IP004256
A00000350,C06042,2025-02-21 14:42:44,Search,D003825,IP006763
A00000351,C02746,2025-10-16 16:54:14,Product View,D006097,IP003708
A00000352,C02452,2025-07-01 03:54:22,Product View,D007592,IP000858
A00000353,C07393,2025-11-23 14:20:36,Search,D009297,IP004824
A00000354,C00926,2025-11-14 12:37:44,Login,D006481,IP000055
A00000355,C06200,2025-05-15 05:31:38,Search,D004952,IP004708
A00000356,C00541,2025-07-11 03:48:13,Search,D005856,IP003845
A00000357,C05984,2025-02-12 14:41:25,Search,D006379,IP002918
A00000358,C00237,2025-08-17 20:41:36,Product View,D008597,IP006092
A00000359,C06156,2025-07-06 08:31:40,Product View,D005366,IP001962
A00000360,C03531,2025-05-19 04:55:36,Search,D004208,IP001773
A00000361,C05588,2025-09-01 15:43:54,Search,D006708,IP005199
A00000362,C07790,2025-12-28 02:15:55,Search,D006569,IP005258
A00000363,C00656,2026-07-13 18:36:19,Add to Cart,D000800,IP005934
A00000364,C00774,2025-03-31 11:57:39,Product View,D005854,IP006781
A00000365,C07096,2025-06-06 08:13:36,Product View,D000413,IP002180
A00000366,C01760,2025-01-19 13:58:54,Product View,D002303,IP005769
A00000367,C06163,2025-08-14 22:26:43,Login,D006239,IP001257
A00000368,C00477,2025-08-10 20:42:39,Search,D005312,IP001497
A00000369,C05422,2025-05-13 13:15:31,Login,D007766,IP005936
A00000370,C01062,2025-07-06 16:41:48,Add to Cart,D000751,IP006116
A00000371,C04915,2026-03-06 04:24:03,Search,D003315,IP005515
A00000372,C00806,2025-08-10 05:53:24,Add to Cart,D004154,IP002077
A00000373,C00593,2025-01-21 20:28:57,Product View,D009276,IP006225
A00000374,C02569,2026-08-21 13:03:48,Wishlist,D009625,IP002964
A00000375,C01675,2025-12-17 15:19:51,Wishlist,D007871,IP003375
A00000376,C00462,2026-05-30 20:18:48,Login,D000670,IP001280
A00000377,C06500,2025-11-01 13:06:10,Checkout,D006862,IP003866
A00000378,C01859,2025-10-31 02:07:12,Search,D002244,IP006962
A00000379,C02557,2026-06-04 15:07:05,Checkout,D004317,IP002422
A00000380,C02374,2026-03-22 08:54:50,Checkout,D002161,IP003964
A00000381,C05310,2025-05-27 04:41:06,Wishlist,D003508,IP006898
A00000382,C00158,2025-09-15 11:38:21,Add to Cart,D007437,IP005433
A00000383,C04608,2025-10-28 09:10:53,Product View,D004233,IP006673
A00000384,C06576,2026-02-06 13:24:10,Product View,D008512,IP002423
A00000385,C02133,2025-12-25 10:03:14,Login,D009864,IP000150
A00000386,C03607,2025-02-04 17:32:32,Search,D007414,IP005241
A00000387,C00441,2025-03-15 23:52:05,Product View,D008598,IP002322
A00000388,C03152,2025-03-10 06:16:21,Search,D009956,IP002863
A00000389,C00688,2025-02-16 22:32:31,Search,D005377,IP004118
A00000390,C02263,2025-09-19 19:48:12,Wishlist,D005850,IP000927
A00000391,C05752,2025-08-21 01:12:09,Search,D005452,IP006527
A00000392,C01156,2026-06-28 10:30:25,Product View,D001438,IP004432
A00000393,C07812,2026-08-11 21:26:34,Checkout,D004704,IP001736
A00000394,C01072,2026-02-15 01:58:05,Product View,D000052,IP001770
A00000395,C02659,2025-09-22 01:09:58,Product View,D009384,IP005200
