return_id,order_id,customer_id,return_date,return_reason,refund_amount
R0000079,O0038740,C03619,2026-05-26,Wrong Item,128.88
R0000080,O0054754,C01680,2025-09-13,Late Delivery,128.94
R0000081,O0029524,C03580,2025-02-22,Not as Expected,26.26
R0000082,O0022616,C03096,2025-02-08,Changed Mind,10.8
R0000083,O0044516,C05634,2026-04-28,Late Delivery,76.92
R0000084,O0052776,C04510,2026-07-15,Late Delivery,101.35
R0000085,O0034463,C05829,2025-12-12,Damaged,42.85
R0000086,O0031124,C02465,2026-05-15,Changed Mind,85.96
R0000087,O0033064,C02681,2025-07-03,Wrong Item,106.92
R0000088,O0013708,C06671,2026-07-21,Wrong Item,51.1
R0000089,O0047227,C05398,2026-07-21,Changed Mind,88.74
R0000090,O0049791,C04734,2026-06-06,Damaged,193.31
R0000091,O0023580,C05569,2026-08-12,Damaged,48.64
R0000092,O0047481,C03482,2025-04-07,Not as Expected,146.34
R0000093,O0031590,C02938,2025-07-07,Late Delivery,102.37
R0000094,O0038334,C06489,2025-08-03,Changed Mind,60.54
R0000095,O0034730,C06810,2026-06-06,Late Delivery,145.4
R0000096,O0059989,C04838,2025-01-21,Changed Mind,14.94
R0000097,O0017817,C02764,2025-08-28,Changed Mind,15.03
R0000098,O0044284,C06375,2026-03-24,Damaged,37.01
R0000099,O0041405,C07509,2026-08-17,Late Delivery,188.78
R0000100,O0014559,C01256,2025-03-20,Changed Mind,34.0
R0000101,O0030485,C02942,2026-06-28,Damaged,336.02
R0000102,O0015680,C03874,2025-12-26,Wrong Item,25.34
R0000103,O0029866,C02186,2025-09-18,Damaged,125.02
R0000104,O0001216,C05565,2025-09-13,Late Delivery,28.59
R0000105,O0042535,C06693,2026-02-05,Not as Expected,55.29
R0000106,O0057566,C02905,2026-08-02,Damaged,16.96
R0000107,O0055119,C03479,2025-02-12,Not as Expected,167.49
R0000108,O0052673,C01269,2026-01-19,Not as Expected,17.23
R0000109,O0002025,C00758,2026-03-17,Damaged,279.0
R0000110,O0018055,C01920,2026-01-09,Late Delivery,56.43
R0000111,O0037410,C00576,2026-07-17,Changed Mind,4.31
R0000112,O0028706,C04090,2026-01-26,Not as Expected,167.47
R0000113,O0043148,C02706,2025-11-11,Changed Mind,104.42
R0000114,O0045735,C05448,2026-04-23,Wrong Item,170.47
R0000115,O0027931,C03725,2025-08-03,Wrong Item,2900.52
R0000116,O0056990,C02415,2026-03-22,Not as Expected,239.95
R0000117,O0057591,C01875,2025-10-19,Late Delivery,91.68
R0000118,O0054366,C04111,2026-07-07,Damaged,100.93
R0000119,O0048353,C06703,2025-07-20,Wrong Item,181.61
R0000120,O0052932,C01600,2025-02-15,Late Delivery,16.85
R0000121,O0053829,C03664,2025-11-17,Not as Expected,72.48
R0000122,O0050479,C07968,2026-03-29,Changed Mind,11.21
R0000123,O0015141,C01604,2025-06-12,Changed Mind,99.65
R0000124,O0053879,C06571,2025-07-12,Changed Mind,77.29
R0000125,O0051844,C07723,2025-03-20,Changed Mind,54.13
R0000126,O0037912,C06469,2025-03-10,Not as Expected,9.45
R0000127,O0053579,C04193,2025-11-13,Late Delivery,27.0
R0000128,O0034686,C04765,2025-03-27,Not as Expected,15.96
R0000129,O0043107,C02693,2026-01-28,Late Delivery,54.66
R0000130,O0024866,C05340,2025-01-19,Changed Mind,136.66
R0000131,O0044185,C04562,2025-10-25,Not as Expected,3630.79
R0000132,O0045804,C06815,2025-09-23,Damaged,15.33
R0000133,O0008293,C04152,2025-12-17,Late Delivery,14.83
R0000134,O0004653,C01974,2026-03-17,Not as Expected,29.72
R0000135,O0015945,C02374,2026-05-17,Damaged,38.84
R0000136,O0053109,C07222,2026-04-21,Late Delivery,43.82
R0000137,O0045725,C07168,2026-06-17,Not as Expected,59.45
R0000138,O0017387,C04007,2026-07-03,Wrong Item,71.54
R0000139,O0024232,C03234,2026-02-07,Not as Expected,138.26
R0000140,O0017371,C06415,2025-03-09,Changed Mind,23.39
R0000141,O0059998,C00502,2025-02-03,Not as Expected,231.75
R0000142,O0044051,C05287,2026-06-19,Changed Mind,65.52
R0000143,O0035276,C03080,2025-03-12,Wrong Item,145.28
R0000144,O0006886,C02163,2025-10-10,Late Delivery,34.65
R0000145,O0029121,C04626,2026-06-21,Changed Mind,80.72
R0000146,O0002240,C07010,2025-06-22,Not as Expected,176.88
R0000147,O0055993,C05652,2025-05-21,Damaged,195.97
R0000148,O0042884,C01120,2026-02-16,Damaged,228.76
R0000149,O0018475,C06979,2025-07-25,Wrong Item,18.8
R0000150,O0006472,C03133,2025-11-08,Changed Mind,327.16
R0000151,O0013480,C04299,2025-02-11,Changed Mind,43.68
R0000152,O0043381,C03013,2025-09-26,Late Delivery,15.42
R0000153,O0024646,C00339,2026-05-23,Wrong Item,198.98
R0000154,O0010240,C00146,2026-04-10,Late Delivery,9.79
R0000155,O0000230,C05061,2026-01-04,Damaged,156.9
R0000156,O0003028,C06606,2025-03-14,Not as Expected,459.7
R0000157,O0028963,C00688,2025-08-14,Late Delivery,23.73
R0000158,O0043342,C01496,2026-08-21,Not as Expected,172.59
R0000159,O0044960,C02275,2026-08-27,Not as Expected,354.12
R0000160,O0039735,C03478,2026-07-02,Late Delivery,223.94
R0000161,O0056492,C06057,2025-05-16,Not as Expected,11.85
R0000162,O0001097,C03309,2025-06-27,Wrong Item,55.59
R0000163,O0055006,C03244,2025-04-01,Not as Expected,158.55
R0000164,O0059653,C00616,2026-04-27,Wrong Item,227.25
R0000165,O0053453,C06438,2026-08-04,Wrong Item,404.4
R0000166,O0042120,C00132,2026-08-04,Not as Expected,23.07
R0000167,O0056791,C00887,2026-07-20,Changed Mind,84.97
R0000168,O0028831,C02978,2025-07-04,Wrong Item,33.12
R0000169,O0032375,C03807,2026-04-24,Wrong Item,103.2
R0000170,O0049918,C05731,2025-11-22,Not as Expected,120.38
R0000171,O0021451,C05908,2025-02-14,Wrong Item,17.22
R0000172,O0008720,C02626,2025-11-29,Changed Mind,419.62
R0000173,O0033387,C04938,2025-10-08,Changed Mind,49.77
R0000174,O0000969,C01716,2026-01-23,Not as Expected,48.16
R0000175,O0020658,C00679,2026-08-22,Damaged,80.51
R0000176,O0015927,C01194,2026-02-19,Damaged,127.18
R0000177,O0043316,C07844,2025-09-24,Not as Expected,31.7
R0000178,O0037498,C00521,2026-03-27,Changed Mind,11.3
R0000179,O0030689,C01833,2025-04-23,Damaged,8.37
R0000180,O0038234,C03654,2026-05-20,Wrong Item,77.12
R0000181,O0029302,C04356,2026-06-29,Wrong Item,272.25
R0000182,O0051781,C02298,2025-11-25,Late Delivery,81.93
R0000183,O0040797,C00278,2025-05-10,Late Delivery,115.15
R0000184,O0003278,C07852,2026-08-06,Not as Expected,57.28
R0000185,O0044837,C04345,2026-05-28,Changed Mind,59.07
R0000186,O0001057,C05644,2026-05-09,Late Delivery,6.69
R0000187,O0010043,C05011,2025-11-17,Wrong Item,256.97
R0000188,O0036759,C01594,2026-08-02,Wrong Item,26.05
R0000189,O0057206,C03606,2026-06-10,Changed Mind,6.67
R0000190,O0046680,C01405,2026-03-08,Changed Mind,9.5
R0000191,O0037633,C00598,2026-05-20,Not as Expected,202.22
R0000192,O0012843,C04356,2025-05-21,Late Delivery,141.65
R0000193,O0010358,C01860,2025-05-05,Late Delivery,26.73
R0000194,O0014845,C00244,2026-01-22,Wrong Item,135.88
R0000195,O0038311,C01057,2025-04-26,Not as Expected,48.22
R0000196,O0051613,C00437,2026-04-06,Changed Mind,10.98
R0000197,O0020860,C02088,2025-03-22,Late Delivery,169.65
R0000198,O0013541,C05199,2026-02-20,Changed Mind,31.75
R0000199,O0030528,C05525,2025-02-08,Wrong Item,449.83
R0000200,O0012418,C03878,2025-12-09,Changed Mind,6.81
R0000201,O0047128,C07281,2025-10-23,Damaged,58.43
R0000202,O0004667,C02628,2025-07-30,Damaged,79.61
R0000203,O0005908,C00264,2026-06-14,Damaged,7.8
R0000204,O0056400,C00595,2025-10-23,Damaged,60.56
R0000205,O0046476,C01324,2025-05-26,Not as Expected,67.48
R0000206,O0000690,C07304,2026-08-06,Damaged,29.9
R0000207,O0000446,C05624,2026-01-31,Wrong Item,58.52
R0000208,O0004725,C04177,2026-08-31,Changed Mind,17.23
R0000209,O0031223,C04405,2025-09-24,Changed Mind,66.89
R0000210,O0016024,C07311,2026-03-05,Wrong Item,44.39
R0000211,O0009110,C01870,2025-09-02,Not as Expected,14.47
R0000212,O0025662,C03782,2026-04-12,Changed Mind,54.25
R0000213,O0022367,C00430,2025-01-25,Not as Expected,59.89
R0000214,O0043591,C01628,2025-12-09,Not as Expected,145.35
R0000215,O0032009,C02747,2025-08-08,Not as Expected,16.84
R0000216,O0012371,C02238,2026-04-27,Damaged,51.07
R0000217,O0001217,C05911,2025-02-27,Damaged,139.95
R0000218,O0029016,C04202,2026-07-01,Wrong Item,188.07
R0000219,O0004913,C05017,2026-07-06,Wrong Item,234.24
R0000220,O0007415,C00207,2026-03-28,Late Delivery,5.22
R0000221,O0051562,C02936,2025-05-28,Changed Mind,75.71
R0000222,O0006474,C07162,2026-05-09,Wrong Item,12.21
R0000223,O0042299,C05062,2025-02-16,Damaged,208.5
R0000224,O0008043,C02543,2025-06-15,Late Delivery,219.31
R0000225,O0001304,C06069,2026-08-04,Wrong Item,177.35
R0000226,O0046361,C00975,2025-06-22,Wrong Item,109.14
R0000227,O0033484,C06770,2025-05-27,Damaged,201.19
R0000228,O0055677,C00543,2025-12-12,Damaged,163.74
R0000229,O0031836,C04052,2025-12-02,Not as Expected,13.08
R0000230,O0017914,C07890,2026-06-26,Wrong Item,68.73
R0000231,O0032461,C02092,2025-05-29,Not as Expected,90.83
R0000232,O0041395,C02760,2026-01-19,Changed Mind,182.23
R0000233,O0036814,C07514,2026-03-06,Damaged,9.12
R0000234,O0026275,C00628,2025-01-12,Late Delivery,141.17
R0000235,O0026350,C02401,2026-01-24,Late Delivery,63.07
R0000236,O0023076,C07726,2026-03-03,Not as Expected,162.74
R0000237,O0014331,C00439,2025-05-12,Wrong Item,113.59
R0000238,O0053411,C04220,2025-01-31,Late Delivery,10.35
R0000239,O0027774,C07734,2025-11-14,Damaged,21.15
R0000240,O0030759,C01049,2026-07-17,Wrong Item,34.56
R0000241,O0032171,C03347,2025-03-15,Damaged,37.82
R0000242,O0036412,C00477,2026-02-09,Changed Mind,256.11
R0000243,O0049322,C06476,2025-08-24,Damaged,303.9
R0000244,O0058520,C04894,2026-03-22,Damaged,129.27
R0000245,O0019814,C04024,2026-05-19,Wrong Item,301.74
R0000246,O0031166,C04081,2025-05-21,Damaged,42.7
R0000247,O0055618,C06509,2025-10-06,Not as Expected,139.56
R0000248,O0015173,C06980,2025-04-28,Damaged,82.28
R0000249,O0035070,C03227,2026-07-31,Not as Expected,199.69
R0000250,O0033348,C01328,2026-02-09,Changed Mind,230.53
R0000251,O0043175,C00948,2026-03-05,Wrong Item,29.9
R0000252,O0033262,C04664,2025-07-12,Wrong Item,87.48
R0000253,O0017432,C04492,2025-07-13,Not as Expected,51.27
R0000254,O0007784,C06293,2025-07-29,Late Delivery,65.44
R0000255,O0017440,C01640,2025-07-30,Changed Mind,371.13
R0000256,O0018487,C02811,2026-05-14,Damaged,16.77
R0000257,O0022152,C02977,2026-02-03,Damaged,121.51
R0000258,O0039217,C00263,2025-11-08,Late Delivery,1418.13
R0000259,O0009158,C02053,2025-07-03,Damaged,27.88
R0000260,O0059057,C00975,2026-05-03,Changed Mind,23.65
R0000261,O0043355,C02748,2025-12-23,Late Delivery,102.74
R0000262,O0004221,C00390,2025-12-06,Not as Expected,49.88
R0000263,O0028243,C03850,2025-02-20,Damaged,39.99
R0000264,O0004637,C06680,2025-11-14,Late Delivery,120.3
R0000265,O0029278,C05862,2025-12-14,Not as Expected,69.24
R0000266,O0035982,C03824,2026-05-03,Late Delivery,76.21
R0000267,O0027135,C07465,2025-10-29,Late Delivery,284.05
R0000268,O0029367,C02497,2026-03-31,Changed Mind,24.52
R0000269,O0035332,C02249,2026-04-17,Late Delivery,35.95
R0000270,O0032777,C06960,2026-04-09,Changed Mind,92.5
R0000271,O0021669,C00006,2026-04-26,Wrong Item,233.17
R0000272,O0041858,C03947,2025-04-17,Wrong Item,363.86
R0000273,O0038503,C05775,2026-06-02,Late Delivery,61.81
R0000274,O0018212,C04567,2026-01-20,Wrong Item,96.02
R0000275,O0033799,C02948,2025-02-10,Not as Expected,54.78
R0000276,O0030213,C06834,2026-04-27,Damaged,147.11
R0000277,O0012580,C01032,2025-05-22,Late Delivery,152.97
R0000278,O0037322,C05602,2026-07-08,Late Delivery,40.85
R0000279,O0031216,C02236,2025-06-09,Changed Mind,327.89
R0000280,O0033896,C07547,2025-10-07,Changed Mind,7.96
R0000281,O0012807,C06819,2026-08-25,Changed Mind,67.68
R0000282,O0033613,C06959,2026-03-20,Damaged,79.86
R0000283,O0014994,C02775,2026-05-18,Changed Mind,71.61
R0000284,O0037839,C06408,2026-05-16,Not as Expected,15.53
R0000285,O0007452,C07593,2026-04-29,Wrong Item,383.76
R0000286,O0018675,C04246,2025-01-19,Late Delivery,108.19
R0000287,O0035157,C01090,2025-04-26,Changed Mind,84.14
R0000288,O0020534,C02764,2025-06-18,Not as Expected,9.55
R0000289,O0027165,C06804,2026-01-30,Damaged,39.4
R0000290,O0023996,C04798,2025-10-25,Damaged,266.4
R0000291,O0020688,C07831,2025-05-09,Late Delivery,14.88
R0000292,O0042071,C02329,2025-11-06,Not as Expected,135.36
R0000293,O0030941,C02579,2026-08-12,Damaged,25.95
R0000294,O0033365,C00036,2026-02-14,Wrong Item,62.4
R0000295,O0010818,C06859,2026-04-14,Wrong Item,242.17
R0000296,O0036711,C06298,2026-03-21,Wrong Item,51.96
R0000297,O0012484,C03918,2025-07-14,Damaged,48.22
R0000298,O0056902,C01457,2026-01-26,Changed Mind,51.37
R0000299,O0018031,C01711,2025-07-30,Wrong Item,103.17
R0000300,O0001055,C03763,2026-07-01,Late Delivery,226.32
R0000301,O0038266,C03701,2025-03-19,Late Delivery,27.48
R0000302,O0004311,C00464,2026-03-05,Changed Mind,97.47
R0000303,O0032765,C03303,2026-06-30,Late Delivery,664.61
R0000304,O0008969,C04666,2025-03-26,Wrong Item,9.63
R0000305,O0042222,C04646,2025-09-30,Damaged,42.14
R0000306,O0027498,C03149,2026-01-22,Late Delivery,112.56
R0000307,O0015418,C04200,2026-07-10,Changed Mind,6.37
R0000308,O0024199,C01775,2026-04-10,Late Delivery,45.56
R0000309,O0051381,C00459,2025-08-23,Wrong Item,119.89
R0000310,O0020579,C07771,2025-09-13,Late Delivery,35.78
R0000311,O0053704,C02883,2025-04-12,Changed Mind,16.47
R0000312,O0057390,C04618,2026-05-19,Not as Expected,177.05
R0000313,O0005077,C01419,2026-07-25,Late Delivery,75.98
R0000314,O0030803,C00809,2026-05-27,Wrong Item,201.28
R0000315,O0026308,C07676,2025-12-11,Wrong Item,50.83
R0000316,O0047470,C02505,2025-11-06,Late Delivery,20.85
R0000317,O0000800,C02458,2025-01-18,Wrong Item,70.63
R0000318,O0053142,C01967,2026-03-29,Not as Expected,118.06
R0000319,O0059524,C06813,2025-12-12,Damaged,52.18
R0000320,O0012598,C06083,2025-01-08,Changed Mind,64.25
R0000321,O0021813,C02656,2026-06-08,Damaged,15.53
R0000322,O0022143,C01953,2026-02-26,Wrong Item,72.24
R0000323,O0029576,C03780,2025-11-30,Late Delivery,104.37
R0000324,O0003685,C01466,2026-02-01,Late Delivery,45.24
R0000325,O0037177,C07062,2025-10-16,Late Delivery,170.5
R0000326,O0010737,C06029,2025-03-02,Late Delivery,64.76
R0000327,O0020887,C02255,2026-08-05,Changed Mind,102.44
R0000328,O0011450,C06207,2025-12-18,Wrong Item,183.93
R0000329,O0035115,C01086,2025-10-06,Late Delivery,187.12
R0000330,O0025214,C06790,2025-09-04,Wrong Item,117.17
R0000331,O0018815,C00810,2025-09-01,Late Delivery,32.74
R0000332,O0012731,C05807,2025-10-05,Damaged,142.87
R0000333,O0042631,C02240,2025-12-27,Late Delivery,32.58
R0000334,O0057623,C03758,2026-03-22,Not as Expected,74.78
R0000335,O0009943,C02395,2026-06-08,Wrong Item,18.82
R0000336,O0052339,C01328,2025-11-01,Not as Expected,335.94
R0000337,O0046275,C02493,2026-02-28,Late Delivery,49.92
R0000338,O0014047,C02631,2026-02-20,Changed Mind,7.87
R0000339,O0026366,C01996,2026-02-24,Wrong Item,162.55
R0000340,O0030123,C07758,2025-03-10,Not as Expected,72.51
R0000341,O0024360,C07287,2026-09-18,Late Delivery,53.16
R0000342,O0048576,C00039,2025-04-06,Damaged,164.48
R0000343,O0025113,C05839,2026-03-27,Not as Expected,48.12
R0000344,O0006848,C00990,2026-07-20,Changed Mind,32.85
R0000345,O0000985,C02967,2025-10-24,Wrong Item,36.12
R0000346,O0059991,C05166,2025-05-27,Changed Mind,32.37
R0000347,O0058251,C03288,2026-04-20,Late Delivery,249.95
R0000348,O0038904,C05431,2026-07-31,Damaged,27.57
R0000349,O0045393,C04438,2025-05-12,Wrong Item,255.34
R0000350,O0013807,C01373,2025-06-19,Wrong Item,95.13
R0000351,O0039228,C07894,2026-04-13,Changed Mind,30.02
R0000352,O0036481,C05023,2026-06-01,Late Delivery,456.76
R0000353,O0055136,C01079,2026-04-03,Late Delivery,258.78
R0000354,O0027613,C03204,2026-06-19,Wrong Item,237.11
R0000355,O0001518,C03100,2025-01-11,Damaged,17.15
R0000356,O0040329,C05199,2026-02-18,Not as Expected,31.87
R0000357,O0053305,C07373,2025-02-22,Wrong Item,34.95
R0000358,O0023952,C02759,2025-09-09,Damaged,120.97
R0000359,O0049432,C02264,2025-05-29,Changed Mind,14.28
R0000360,O0011320,C03965,2025-10-14,Damaged,39.37
R0000361,O0029091,C05778,2026-07-10,Not as Expected,37.69
R0000362,O0024347,C00881,2026-02-08,Damaged,124.61
R0000363,O0030159,C07082,2025-09-30,Damaged,29.44
R0000364,O0032034,C01974,2026-03-23,Wrong Item,207.5
R0000365,O0044723,C07934,2025-05-30,Not as Expected,102.96
R0000366,O0059483,C07377,2025-05-27,Wrong Item,178.61
R0000367,O0024937,C05421,2025-03-04,Wrong Item,86.54
R0000368,O0048117,C00994,2025-03-08,Changed Mind,107.03
R0000369,O0048595,C07969,2025-06-28,Changed Mind,78.63
R0000370,O0044527,C00180,2025-10-31,Changed Mind,323.28
R0000371,O0031957,C04612,2025-11-25,Wrong Item,10.89
R0000372,O0015070,C06330,2026-09-03,Changed Mind,2.87
R0000373,O0025210,C04122,2026-09-09,Late Delivery,130.9
R0000374,O0041147,C02932,2026-06-22,Changed Mind,18.16
R0000375,O0025600,C00820,2025-07-23,Changed Mind,171.01
R0000376,O0007024,C07589,2025-09-23,Changed Mind,22.83
R0000377,O0017035,C05957,2026-03-17,Late Delivery,16.93
R0000378,O0053015,C03006,2025-04-25,Late Delivery,92.83
R0000379,O0047332,C05731,2025-06-28,Damaged,14.83
R0000380,O0000757,C07369,2025-11-11,Late Delivery,39.77
R0000381,O0045680,C02786,2025-08-18,Changed Mind,71.31
R0000382,O0022986,C03628,2025-02-05,Changed Mind,241.33
R0000383,O0004082,C07831,2025-11-22,Late Delivery,37.15
R0000384,O0012016,C00789,2025-11-13,Damaged,53.56
R0000385,O0047380,C03466,2025-11-30,Wrong Item,38.04
R0000386,O0017485,C06689,2025-08-03,Not as Expected,107.46
R0000387,O0041132,C02876,2025-05-17,Not as Expected,89.59
R0000388,O0013366,C00831,2026-09-27,Late Delivery,41.26
R0000389,O0017913,C00738,2025-02-21,Wrong Item,115.74
R0000390,O0046008,C00607,2025-08-10,Damaged,47.47
R0000391,O0048674,C00430,2025-12-01,Not as Expected,23.34
R0000392,O0000211,C06059,2025-06-30,Changed Mind,51.73
R0000393,O0045747,C01997,2025-10-17,Changed Mind,291.33
R0000394,O0012718,C00758,2025-05-03,Late Delivery,415.01
R0000395,O0025081,C06308,2025-10-28,Late Delivery,47.4
R0000396,O0007091,C05223,2025-07-17,Not as Expected,126.4
R0000397,O0057637,C01474,2025-11-21,Changed Mind,352.89
R0000398,O0021873,C06365,2026-01-13,Not as Expected,139.25
R0000399,O0056407,C07627,2025-07-14,Changed Mind,67.75
R0000400,O0010774,C07176,2026-06-10,Late Delivery,1238.16
R0000401,O0021572,C00646,2025-01-31,Not as Expected,13.99
R0000402,O0039045,C01439,2026-03-19,Late Delivery,26.67
R0000403,O0035609,C05647,2026-08-14,Wrong Item,103.33
R0000404,O0018927,C04530,2026-01-26,Late Delivery,133.55
R0000405,O0047361,C00485,2025-08-19,Changed Mind,32.56
R0000406,O0054393,C07430,2025-12-30,Damaged,89.59
R0000407,O0057265,C07397,2026-07-09,Damaged,56.45
R0000408,O0030250,C01803,2025-07-29,Not as Expected,116.43
R0000409,O0059213,C07810,2025-12-28,Late Delivery,22.06
R0000410,O0031328,C07815,2026-05-10,Changed Mind,165.99
R0000411,O0033813,C07452,2026-06-28,Damaged,82.99
R0000412,O0057147,C00606,2025-06-01,Changed Mind,88.79
R0000413,O0027757,C05839,2026-04-19,Late Delivery,57.16
R0000414,O0030696,C03228,2025-12-13,Wrong Item,439.64
R0000415,O0022892,C00037,2025-09-27,Late Delivery,274.25
R0000416,O0038649,C06499,2025-10-30,Late Delivery,41.42
R0000417,O0022858,C03608,2025-09-15,Late Delivery,17.95
R0000418,O0004978,C02594,2026-03-08,Wrong Item,90.99
R0000419,O0044871,C06373,2026-04-10,Damaged,98.59
R0000420,O0020060,C04289,2025-02-25,Wrong Item,292.37
R0000421,O0001921,C05364,2025-06-06,Changed Mind,58.37
R0000422,O0051907,C01069,2026-07-04,Late Delivery,55.21
R0000423,O0055179,C03806,2025-07-17,Wrong Item,43.99
R0000424,O0043032,C04245,2025-04-28,Changed Mind,257.48
R0000425,O0006506,C02579,2025-12-26,Wrong Item,143.56
R0000426,O0006336,C02619,2025-03-11,Wrong Item,191.88
R0000427,O0014386,C00036,2025-10-21,Damaged,47.18
R0000428,O0004075,C06366,2026-06-16,Not as Expected,135.95
R0000429,O0044942,C02869,2026-03-21,Wrong Item,11.45
R0000430,O0013301,C03005,2025-04-15,Not as Expected,62.16
R0000431,O0017205,C01711,2026-07-19,Late Delivery,13.99
R0000432,O0031284,C02858,2026-06-24,Wrong Item,403.67
R0000433,O0051386,C00873,2025-03-16,Changed Mind,26.74
R0000434,O0034989,C07317,2025-12-24,Changed Mind,90.87
R0000435,O0035807,C03877,2025-09-02,Damaged,112.25
R0000436,O0020045,C02847,2025-05-04,Wrong Item,62.97
R0000437,O0020857,C00542,2025-12-03,Damaged,22.07
R0000438,O0015046,C06160,2025-07-15,Wrong Item,37.41
R0000439,O0026175,C07874,2025-02-13,Late Delivery,487.79
R0000440,O0012346,C03419,2026-07-05,Late Delivery,6.39
