order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_amount
OI00000249,O0000139,P01081,1,44.77,0.0,44.77
OI00000250,O0000139,P00147,1,37.89,0.0,37.89
OI00000251,O0000140,P00783,1,39.88,0.15,33.9
OI00000252,O0000141,P00263,1,30.78,0.0,30.78
OI00000253,O0000141,P01568,1,27.53,0.1,24.78
OI00000254,O0000141,P01503,1,20.57,0.15,17.48
OI00000255,O0000142,P01608,1,74.55,0.05,70.82
OI00000256,O0000142,P01452,1,15.17,0.05,14.41
OI00000257,O0000143,P01879,3,35.46,0.05,101.06
OI00000258,O0000143,P01968,4,30.0,0.05,114.0
OI00000259,O0000144,P00801,1,39.33,0.0,39.33
OI00000260,O0000144,P00938,1,60.52,0.1,54.47
OI00000261,O0000144,P00860,1,25.66,0.0,25.66
OI00000262,O0000145,P00657,1,17.2,0.0,17.2
OI00000263,O0000146,P01576,1,49.09,0.0,49.09
OI00000264,O0000147,P01373,4,8.0,0.05,30.4
OI00000265,O0000147,P01356,1,29.95,0.0,29.95
OI00000266,O0000148,P01907,5,114.73,0.0,573.65
OI00000267,O0000149,P00437,1,14.5,0.0,14.5
OI00000268,O0000149,P00635,3,16.04,0.05,45.71
OI00000269,O0000150,P01490,2,33.23,0.05,63.14
OI00000270,O0000151,P00208,5,25.13,0.0,125.65
OI00000271,O0000152,P00052,1,57.91,0.1,52.12
OI00000272,O0000152,P00620,5,179.48,0.15,762.79
OI00000273,O0000152,P00813,1,36.8,0.0,36.8
OI00000274,O0000153,P00118,3,7.73,0.0,23.19
OI00000275,O0000153,P01541,3,73.46,0.0,220.38
OI00000276,O0000154,P01434,1,7.14,0.0,7.14
OI00000277,O0000154,P01499,1,23.43,0.05,22.26
OI00000278,O0000155,P01512,1,12.87,0.2,10.3
OI00000279,O0000155,P00293,1,30.7,0.1,27.63
OI00000280,O0000155,P01081,1,44.77,0.05,42.53
OI00000281,O0000156,P00068,1,41.97,0.0,41.97
OI00000282,O0000156,P00156,1,80.1,0.0,80.1
OI00000283,O0000157,P00965,3,88.32,0.0,264.96
OI00000284,O0000158,P01475,1,29.96,0.2,23.97
OI00000285,O0000159,P01415,1,96.75,0.2,77.4
OI00000286,O0000160,P01139,1,29.0,0.0,29.0
OI00000287,O0000160,P00394,1,128.04,0.05,121.64
OI00000288,O0000161,P00223,1,70.96,0.0,70.96
OI00000289,O0000162,P00872,1,375.53,0.15,319.2
OI00000290,O0000163,P00438,1,47.19,0.1,42.47
OI00000291,O0000164,P01039,3,28.65,0.0,85.95
OI00000292,O0000164,P00916,1,60.43,0.0,60.43
OI00000293,O0000165,P00638,1,29.37,0.0,29.37
OI00000294,O0000166,P00590,1,27.13,0.15,23.06
OI00000295,O0000166,P00535,1,60.75,0.1,54.68
OI00000296,O0000167,P01719,2,51.39,0.15,87.36
OI00000297,O0000168,P01545,1,8.1,0.0,8.1
OI00000298,O0000169,P00467,1,55.82,0.0,55.82
OI00000299,O0000169,P01209,2,111.78,0.2,178.85
OI00000300,O0000169,P00682,1,90.29,0.1,81.26
OI00000301,O0000170,P01307,1,23.71,0.15,20.15
OI00000302,O0000171,P00241,1,13.57,0.0,13.57
OI00000303,O0000171,P00390,1,18.54,0.0,18.54
OI00000304,O0000171,P00738,1,21.36,0.15,18.16
OI00000305,O0000171,P00917,1,82.03,0.15,69.73
OI00000306,O0000172,P00820,1,29.06,0.0,29.06
OI00000307,O0000173,P01480,2,22.28,0.0,44.56
OI00000308,O0000173,P01648,1,22.36,0.05,21.24
OI00000309,O0000174,P01623,2,107.3,0.1,193.14
OI00000310,O0000175,P00450,1,7.45,0.0,7.45
OI00000311,O0000175,P01725,1,18.3,0.15,15.56
OI00000312,O0000176,P01224,1,10.45,0.0,10.45
OI00000313,O0000177,P01143,1,38.68,0.05,36.75
OI00000314,O0000177,P01408,1,38.85,0.0,38.85
OI00000315,O0000177,P00865,2,60.87,0.1,109.57
OI00000316,O0000178,P01664,4,12.32,0.0,49.28
OI00000317,O0000179,P00330,1,50.19,0.0,50.19
OI00000318,O0000180,P01794,1,119.2,0.0,119.2
OI00000319,O0000181,P01549,3,14.6,0.2,35.04
OI00000320,O0000181,P00817,1,16.02,0.2,12.82
OI00000321,O0000181,P00645,5,130.94,0.05,621.96
OI00000322,O0000182,P00066,4,15.17,0.0,60.68
OI00000323,O0000183,P01105,1,59.76,0.0,59.76
OI00000324,O0000183,P01220,2,42.86,0.0,85.72
OI00000325,O0000183,P01870,3,23.28,0.0,69.84
OI00000326,O0000184,P00630,1,83.91,0.0,83.91
OI00000327,O0000184,P01197,1,39.47,0.0,39.47
OI00000328,O0000184,P00439,2,13.8,0.05,26.22
OI00000329,O0000185,P01372,1,19.49,0.0,19.49
OI00000330,O0000186,P01554,3,56.31,0.15,143.59
OI00000331,O0000186,P01997,1,58.96,0.0,58.96
OI00000332,O0000186,P00880,1,36.67,0.2,29.34
OI00000333,O0000187,P01314,1,54.37,0.0,54.37
OI00000334,O0000187,P00413,1,59.18,0.0,59.18
OI00000335,O0000188,P01732,1,13.92,0.1,12.53
OI00000336,O0000189,P00546,1,98.58,0.0,98.58
OI00000337,O0000189,P00230,2,63.45,0.0,126.9
OI00000338,O0000190,P00510,2,71.34,0.0,142.68
OI00000339,O0000190,P00639,1,126.72,0.05,120.38
OI00000340,O0000190,P00057,1,14.23,0.1,12.81
OI00000341,O0000190,P00775,1,92.9,0.15,78.96
OI00000342,O0000191,P01148,1,27.03,0.1,24.33
OI00000343,O0000191,P00769,2,28.41,0.05,53.98
OI00000344,O0000191,P01719,5,51.39,0.15,218.41
OI00000345,O0000192,P00483,1,76.15,0.1,68.54
OI00000346,O0000192,P00874,5,6.59,0.2,26.36
OI00000347,O0000193,P01766,1,76.49,0.05,72.67
OI00000348,O0000194,P00485,1,14.75,0.0,14.75
OI00000349,O0000195,P01773,2,10.37,0.15,17.63
OI00000350,O0000195,P01427,1,15.41,0.0,15.41
OI00000351,O0000195,P01624,3,67.0,0.1,180.9
OI00000352,O0000196,P01535,2,30.56,0.05,58.06
OI00000353,O0000196,P00499,3,43.19,0.0,129.57
OI00000354,O0000197,P01183,1,6.99,0.0,6.99
OI00000355,O0000198,P01529,4,83.85,0.0,335.4
OI00000356,O0000199,P01255,4,14.69,0.1,52.88
OI00000357,O0000200,P01252,2,65.72,0.0,131.44
OI00000358,O0000200,P01732,1,13.92,0.0,13.92
OI00000359,O0000201,P00237,2,479.33,0.0,958.66
OI00000360,O0000202,P00188,2,69.34,0.0,138.68
OI00000361,O0000203,P01065,1,76.91,0.2,61.53
OI00000362,O0000204,P01203,4,9.54,0.15,32.44
OI00000363,O0000205,P01193,1,5.69,0.1,5.12
OI00000364,O0000205,P00239,3,12.99,0.05,37.02
OI00000365,O0000205,P01297,1,20.1,0.1,18.09
OI00000366,O0000206,P01722,1,46.59,0.1,41.93
OI00000367,O0000207,P01937,2,6.26,0.2,10.02
OI00000368,O0000207,P01143,1,38.68,0.0,38.68
OI00000369,O0000208,P01856,1,3.0,0.0,3.0
OI00000370,O0000208,P01252,1,65.72,0.0,65.72
OI00000371,O0000208,P00630,3,83.91,0.05,239.14
OI00000372,O0000209,P01326,2,25.81,0.0,51.62
OI00000373,O0000209,P00668,1,33.41,0.05,31.74
OI00000374,O0000210,P00867,1,24.21,0.1,21.79
OI00000375,O0000210,P01639,1,67.66,0.15,57.51
OI00000376,O0000211,P00300,1,82.43,0.0,82.43
OI00000377,O0000212,P00056,2,33.51,0.0,67.02
OI00000378,O0000212,P01539,3,86.35,0.0,259.05
OI00000379,O0000212,P01605,5,31.96,0.15,135.83
OI00000380,O0000213,P00325,3,133.81,0.2,321.14
OI00000381,O0000213,P01839,1,30.65,0.0,30.65
OI00000382,O0000213,P01566,1,76.64,0.0,76.64
OI00000383,O0000214,P00595,1,18.41,0.0,18.41
OI00000384,O0000215,P00896,2,29.58,0.0,59.16
OI00000385,O0000216,P01020,2,38.18,0.15,64.91
OI00000386,O0000216,P00289,1,58.49,0.0,58.49
OI00000387,O0000217,P00749,1,16.88,0.1,15.19
OI00000388,O0000218,P01389,1,24.26,0.0,24.26
OI00000389,O0000218,P01338,1,4.97,0.0,4.97
OI00000390,O0000219,P00130,1,25.44,0.0,25.44
OI00000391,O0000219,P01428,3,28.09,0.0,84.27
OI00000392,O0000220,P00958,2,17.39,0.0,34.78
OI00000393,O0000220,P01766,3,76.49,0.0,229.47
OI00000394,O0000221,P00242,1,16.75,0.0,16.75
OI00000395,O0000222,P00025,2,15.54,0.0,31.08
OI00000396,O0000222,P00361,1,43.1,0.0,43.1
OI00000397,O0000223,P01762,3,25.92,0.05,73.87
OI00000398,O0000224,P01685,1,152.5,0.1,137.25
OI00000399,O0000225,P00677,2,82.59,0.0,165.18
OI00000400,O0000225,P00471,3,96.53,0.1,260.63
OI00000401,O0000226,P01562,3,52.33,0.05,149.14
OI00000402,O0000226,P01110,1,15.43,0.0,15.43
OI00000403,O0000227,P00677,2,82.59,0.0,165.18
OI00000404,O0000227,P00889,1,31.01,0.1,27.91
OI00000405,O0000227,P00752,2,32.94,0.05,62.59
OI00000406,O0000228,P00671,3,31.36,0.0,94.08
OI00000407,O0000228,P00192,1,151.02,0.1,135.92
OI00000408,O0000228,P01627,1,7.27,0.05,6.91
OI00000409,O0000228,P01150,1,27.2,0.0,27.2
OI00000410,O0000229,P00880,1,36.67,0.0,36.67
OI00000411,O0000230,P00788,1,34.0,0.1,30.6
OI00000412,O0000230,P01299,2,64.09,0.0,128.18
OI00000413,O0000231,P01854,2,9.98,0.1,17.96
OI00000414,O0000231,P01165,4,64.54,0.0,258.16
OI00000415,O0000232,P00470,2,5.95,0.05,11.3
OI00000416,O0000232,P01520,2,14.82,0.0,29.64
OI00000417,O0000233,P01853,1,65.04,0.1,58.54
OI00000418,O0000234,P01358,2,14.13,0.1,25.43
OI00000419,O0000234,P01625,3,73.84,0.15,188.29
OI00000420,O0000235,P01942,1,43.26,0.0,43.26
OI00000421,O0000236,P01837,5,6.09,0.0,30.45
OI00000422,O0000236,P00861,1,7.84,0.1,7.06
OI00000423,O0000237,P01812,4,65.45,0.05,248.71
OI00000424,O0000237,P01485,1,16.6,0.0,16.6
OI00000425,O0000238,P01924,1,7.58,0.05,7.2
OI00000426,O0000238,P00315,1,92.3,0.15,78.46
OI00000427,O0000239,P00998,1,7.75,0.0,7.75
OI00000428,O0000240,P00836,3,53.41,0.0,160.23
OI00000429,O0000240,P01829,2,41.18,0.0,82.36
OI00000430,O0000240,P01152,2,15.22,0.2,24.35
OI00000431,O0000241,P01491,2,62.88,0.0,125.76
OI00000432,O0000241,P01321,1,5.5,0.05,5.22
OI00000433,O0000242,P01485,1,16.6,0.0,16.6
OI00000434,O0000243,P01355,1,26.57,0.1,23.91
OI00000435,O0000243,P00655,2,8.96,0.0,17.92
OI00000436,O0000243,P01581,2,98.77,0.0,197.54
OI00000437,O0000244,P01006,1,51.3,0.0,51.3
OI00000438,O0000244,P00060,3,31.68,0.05,90.29
OI00000439,O0000245,P01200,2,7.1,0.0,14.2
OI00000440,O0000245,P00498,1,31.41,0.0,31.41
OI00000441,O0000245,P01260,3,110.41,0.0,331.23
OI00000442,O0000246,P00175,4,21.28,0.0,85.12
OI00000443,O0000247,P00161,1,9.6,0.0,9.6
OI00000444,O0000247,P01242,2,18.31,0.0,36.62
OI00000445,O0000248,P00396,2,55.51,0.0,111.02
OI00000446,O0000249,P00429,1,24.28,0.0,24.28
OI00000447,O0000250,P00984,2,3.0,0.0,6.0
OI00000448,O0000250,P01166,1,95.25,0.0,95.25
OI00000449,O0000250,P01583,1,16.75,0.05,15.91
OI00000450,O0000250,P00924,4,24.92,0.05,94.7
OI00000451,O0000251,P01170,1,28.95,0.1,26.06
OI00000452,O0000251,P00245,1,31.95,0.0,31.95
OI00000453,O0000252,P01246,3,70.84,0.1,191.27
OI00000454,O0000253,P01369,2,18.46,0.0,36.92
OI00000455,O0000253,P01383,1,16.76,0.0,16.76
OI00000456,O0000253,P01146,1,102.13,0.05,97.02
OI00000457,O0000254,P00729,1,17.69,0.15,15.04
OI00000458,O0000254,P00302,1,53.02,0.0,53.02
OI00000459,O0000254,P00677,1,82.59,0.0,82.59
OI00000460,O0000254,P01459,3,33.72,0.05,96.1
OI00000461,O0000255,P00292,2,50.05,0.0,100.1
OI00000462,O0000255,P01386,2,132.71,0.15,225.61
OI00000463,O0000255,P00257,4,16.02,0.15,54.47
OI00000464,O0000256,P00793,3,49.51,0.0,148.53
OI00000465,O0000256,P01723,1,190.73,0.0,190.73
OI00000466,O0000257,P01974,3,17.65,0.0,52.95
OI00000467,O0000257,P01962,1,20.51,0.0,20.51
OI00000468,O0000257,P01273,2,181.62,0.0,363.24
OI00000469,O0000258,P01594,2,64.29,0.15,109.29
OI00000470,O0000258,P01871,3,40.14,0.0,120.42
OI00000471,O0000258,P00052,4,57.91,0.0,231.64
OI00000472,O0000259,P01141,4,6.52,0.0,26.08
OI00000473,O0000259,P01728,5,57.56,0.2,230.24
OI00000474,O0000260,P00825,1,59.54,0.0,59.54
OI00000475,O0000260,P00088,2,24.15,0.15,41.06
OI00000476,O0000260,P00250,5,30.83,0.0,154.15
OI00000477,O0000261,P01742,2,22.04,0.0,44.08
OI00000478,O0000262,P01998,2,28.08,0.0,56.16
OI00000479,O0000263,P00519,2,21.93,0.2,35.09
OI00000480,O0000264,P00569,1,36.96,0.0,36.96
